Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Língua de gato Kompenhagen Soul Good®,1 unidade,6,3,35,111
Língua de gato Kompenhagen®,1 unidade,6,3,36,111
Linguado assado,1 fatia média,100,0,133,111
Linguiça calabresa (média),1 unidade,50,0,150,111
Linguiça calabresa defumada,1 unidade,50,1,140,111
Linguiça de frango,1 gomo,60,0,122,111
Linguiça de peru,1 gomo,50,2,80,111
Linguiça paio,1 unidade,50,0,144,111
Linguiça toscana,1/2 unidade,50,1,90,111
Linhaça (semente),1 colher de sopa,13,6,65,111
Lombo de boi assado,1 pedaço médio,50,0,100,111
Lombo de porco assado,1 pedaço grande,100,0,210,111
Lombo de vitela assado/ cozido,1 pedaço médio,100,0,226,111
Lula cozida,1 unidade média,110,0,106,111
M&M´s® amendoim,1 colher de sopa,12,8,64,111
M&M´s® chocolate,1 colher de sopa,12,9,61,111
M&M´s® chocolate (mini),1 mini tubo,30,19,147,111
M&M’s® crispy,1 colher de sopa,12,8,57,111
Maçã com casca,1 unidade pequena,90,14,58,111
Maçã do amor,1 unidade,110,31,125,111
Maçã seca crocante Jasmine®,1 pacote,40,20,82,111
Maçã verde,1 unidade média,130,19,70,111
"Maçã, suco de (com açúcar)",1 copo,200,22,90,111
"Maçã, suco de (sem açúcar)",1 copo,200,13,51,111
Macadâmica natural,1 porção (punhado),30,4,225,111
Macarrão à bolonhesa,1 escumadeira cheia,110,25,135,112
Macarrão ao alho e óleo,1 escumadeira cheia,110,28,195,112
Macarrão carbonara,1 escumadeira cheia,110,14,294,112
Macarrão com atum,1 escumadeira cheia,110,21,174,112
"Macarrão com molho branco (leite, manteiga e farinha de trigo)",1 escumadeira cheia,110,27,153,112
Macarrão com molho de tomate,1 escumadeira cheia,110,22,131,112
Macarrão com molho pesto,1 escumadeira cheia,110,21,254,112
Macarrão cozido sem molho,1 escumadeira cheia,110,30,138,112
Macarrão de arroz (sem glúten),1 escumadeira cheia,90,21,92,112
Macarrão de arroz e feijão cru Urbano®,1 1/2 xícara,80,52,261,112
Macarrão de arroz integral Urbano® cru (sem glúten),1 1/2 xícara,80,59,274,112
Macarrão de arroz Urbano® cru (sem glúten),1 1/2 xícara,80,62,280,112
Macarrão instantâneo Nissin Lámen® sabor Bacon,1 pacote,85,50,375,112
Macarrão instantâneo Nissin Lámen® sabor Carne,1 pacote,85,54,385,112
Macarrão instantâneo Nissin Lámen® sabor Costela,1 pacote,85,53,391,112
Macarrão instantâneo Nissin Lámen® sabor Galinha,1 pacote,85,50,376,112
Macarrão instantâneo Nissin Lámen® sabor Legumes,1 pacote,85,51,385,112
Macarrão instantâneo Nissin Lámen® sabor Picanha,1 pacote,85,50,377,112
Macarrão integral ao alho e óleo,1 escumadeira cheia,110,28,195,113
Macarrão integral com frutos do mar,1 escumadeira cheia,110,21,143,113
Macarrão integral com molho de tomate,1 escumadeira cheia,110,25,124,113
Macarrão mini fusilli piccolini Barrila® cru,1 prato,80,58,282,113
Macaúba crua,2 unidades,90,13,362,113
Macaxeira cozida (aipim ou mandioca),1 pedaço grande,100,30,125,113
Macaxeira frita (aipim ou mandioca),1 pedaço grande,100,30,225,113
Maionese de batata com legumes,1 colher de sopa cheia,38,3,155,113
Maionese Heinz®,1 colher de sopa,12,0,80,113
Maionese Hellmann’s®,1 colher de sopa,12,1,37,113
Maionese industrializada,1 colher de sopa cheia,17,1,52,113
Maionese industrializada light,1 colher de sopa,12,1,49,113
Maionese light Hellmann’s®,1 colher de sopa,12,1,21,113
Maionese Liza® receita tipo caseira,1 colher de sopa,12,1,37,113
Maionese Liza® tradicional,1 colher de sopa,12,1,16,113
Maionese vegana Helmann’s®,1 colher de sopa,12,0,35,113
Maizena®,1 colher de sopa cheia,20,17,70,113
Mamão formosa,1 fatia grande,170,20,79,113
Mamão formosa,1 fatia média,100,12,47,113
Mamão papaia,1 fatia média,100,10,43,113
Mamão papaia,1/2 unidade,160,16,68,113
Mandioca cozida (aipim ou macaxeira),1 pedaço médio,60,18,75,113
Mandioca cozida (aipim ou macaxeira),1 colher de sopa,20,6,25,114
Mandioca frita (aipim ou macaxeira),1 pedaço grande,100,30,225,114
Mandioca frita (aipim ou macaxeira),1 pedaço médio,60,18,135,114
Mandioquinha ou batata- baroa cozida,1 colher de sopa,30,5,33,114
Mané pelado,1 pedaço médio,70,37,226,114
Manga,1 porção média,100,16,64,114
Manga Espada,1 porção média,100,17,72,114
Manga Haden,1 porção média,100,17,67,114
Manga Palmer,1 porção média,100,19,77,114
Mangaba,1 unidade,25,3,11,114
Maniçoba,1 fatia média,120,4,151,114
Manjar de coco,1 porção,100,35,196,114
Manjar de coco,1 colher de servir,60,21,117,114
Manteiga,1 colher de sopa rasa,19,0,127,114
Manteiga,1 colher de chá rasa,4,0,26,114
Manteiga light,1 colher de chá rasa,4,0,17,114
"Maracujá, polpa de",1 unidade pequena,45,6,33,114
